timestamp,module,worker_id,id,vb_status,result,reserved,vbok,moving,info_status,requiredStatusBit
2025.02.06 07:00:00.075,MF3,G42036921,1847044,not OK,false,0,0,,,
2025.02.06 07:00:00.278,MF3,G42036931,1847105,not OK,false,0,0,,,
2025.02.06 07:00:00.481,MF3,G42036941,1847079,not OK,false,0,0,,,
2025.02.06 07:00:00.685,MF3,G42036950,1847015,not OK,false,0,0,,,
2025.02.06 07:00:00.888,MF3,G42036961,1847053,not OK,false,0,0,,,
2025.02.06 07:00:01.091,MF3,G42036965,1847111,not OK,false,0,0,,,
2025.02.06 07:00:01.294,MF3,G42036974,1847068,not OK,false,0,0,,,
2025.02.06 07:00:01.497,MF3,G42036985,1847056,not OK,false,0,0,,,
2025.02.06 07:00:01.700,MF3,G42036994,1847029,not OK,false,0,0,,,
2025.02.06 07:00:01.903,MF3,G42037011,1847067,not OK,false,0,0,,,
2025.02.06 07:00:02.107,MF3,G42037015,1847078,not OK,false,0,0,,,
2025.02.06 07:00:02.310,MF3,G42037024,1847109,not OK,false,0,0,,,
2025.02.06 07:00:02.513,MF3,G42037033,1847060,not OK,false,0,0,,,
2025.02.06 07:00:02.717,MF3,G42037042,1847040,not OK,false,0,0,,,
2025.02.06 07:00:02.920,MF3,G42037053,1847019,not OK,false,0,0,,,
2025.02.06 07:00:03.123,MF3,G42037063,1847110,not OK,false,0,0,,,
2025.02.06 07:00:03.326,MF3,G42037072,1847097,not OK,false,0,0,,,
2025.02.06 07:00:03.529,MF3,G42037081,1847085,not OK,false,0,0,,,
2025.02.06 07:00:04.139,MF3,G42037115,1847092,not OK,false,0,0,,,
2025.02.06 07:00:04.358,MF3,G42037118,1847035,not OK,false,0,0,,,
2025.02.06 07:00:05.077,MF3,G42037126,1847023,not OK,false,0,0,,,
2025.02.06 07:00:05.311,MF3,G42037130,1847101,not OK,false,0,0,,,
2025.02.06 07:00:05.514,MF3,G42037133,1847032,not OK,false,0,0,,,
2025.02.06 07:00:05.733,MF3,G42037136,1847105,not OK,false,0,0,,,
2025.02.06 07:00:05.936,MF3,G42037141,1847044,not OK,false,0,0,,,
2025.02.06 07:00:06.139,MF3,G42037144,1847079,not OK,false,0,0,,,
2025.02.06 07:00:06.343,MF3,G42037147,1847015,not OK,false,0,0,,,
2025.02.06 07:00:06.546,MF3,G42037150,1847053,not OK,false,0,0,,,
2025.02.06 07:00:06.749,MF3,G42037153,1847111,not OK,false,0,0,,,
2025.02.06 07:00:06.952,MF3,G42037157,1847068,not OK,false,0,0,,,
2025.02.06 07:00:07.155,MF3,G42037161,1847056,not OK,false,0,0,,,
2025.02.06 07:00:07.358,MF3,G42037164,1847029,not OK,false,0,0,,,
2025.02.06 07:00:07.562,MF3,G42037167,1847067,not OK,false,0,0,,,
2025.02.06 07:00:07.765,MF3,G42037170,1847078,not OK,false,0,0,,,
2025.02.06 07:00:07.968,MF3,G42037174,1847109,not OK,false,0,0,,,
2025.02.06 07:00:08.171,MF3,G42037178,1847040,not OK,false,0,0,,,
2025.02.06 07:00:08.374,MF3,G42037181,1847019,not OK,false,0,0,,,
2025.02.06 07:00:08.577,MF3,G42037184,1847060,not OK,false,0,0,,,
2025.02.06 07:00:08.780,MF3,G42037187,1847110,not OK,false,0,0,,,
2025.02.06 07:00:08.984,MF3,G42037191,1847097,not OK,false,0,0,,,
2025.02.06 07:00:09.187,MF3,G42037195,1847085,not OK,false,0,0,,,
2025.02.06 07:00:09.593,MF3,G42037220,1847092,not OK,false,0,0,,,
2025.02.06 07:00:09.796,MF3,G42037230,1847035,not OK,false,0,0,,,
2025.02.06 07:00:10.562,MF3,G42037265,1847023,not OK,false,0,0,,,
2025.02.06 07:00:10.765,MF3,G42037268,1847101,not OK,false,0,0,,,
2025.02.06 07:00:10.968,MF3,G42037284,1847032,not OK,false,0,0,,,
2025.02.06 07:00:11.171,MF3,G42037287,1847105,not OK,false,0,0,,,
2025.02.06 07:00:11.390,MF3,G42037298,1847044,not OK,false,0,0,,,
2025.02.06 07:00:11.593,MF3,G42037308,1847079,not OK,false,0,0,,,
2025.02.06 07:00:11.796,MF3,G42037317,1847015,not OK,false,0,0,,,
2025.02.06 07:00:11.999,MF3,G42037333,1847053,not OK,false,0,0,,,
2025.02.06 07:00:12.203,MF3,G42037336,1847111,not OK,false,0,0,,,
2025.02.06 07:00:12.421,MF3,G42037346,1847056,not OK,false,0,0,,,
2025.02.06 07:00:12.627,MF3,G42037356,1847068,not OK,false,0,0,,,
