timestamp,module,worker_id,search_status,mfs,mfs_id,path_from,path_to,check_local,check_remote,dist_type,save_way,min_dist,failcode
2025.02.06 07:00:41.720,MF1,G42038421,failed,1,1847162,1631,1726,63,8,0,true,0,-2
2025.02.06 07:00:48.632,MF1,G42038740,failed,1,1847162,1720,1726,63,8,0,true,0,-2
2025.02.06 07:00:48.820,MF1,G42038754,failed,1,1847127,1631,1726,63,8,0,true,0,-2
2025.02.06 07:00:55.742,MF1,G42039090,failed,1,1847127,1720,1726,63,8,0,true,0,-2
2025.02.06 07:02:22.584,MF1,G42041851,failed,1,1847145,1631,1726,63,8,0,true,0,-2
2025.02.06 07:02:22.599,MF1,G42041852,failed,1,1847145,1720,1726,63,8,0,true,0,-2
2025.02.06 07:10:14.007,MF1,G42063511,failed,1,1847087,1200,102003,63,8,0,true,0,-2
2025.02.06 07:10:48.893,MF1,G42064794,failed,1,1847052,1631,1716,63,8,0,true,0,-2
2025.02.06 07:10:50.768,MF1,G42064917,failed,1,1847081,1400,104008,63,8,0,true,0,-2
2025.02.06 07:10:52.737,MF1,G42065056,failed,1,1847052,1710,1716,63,8,0,true,0,-2
2025.02.06 07:11:00.744,MF1,G42065616,failed,1,1847092,1631,1716,63,8,0,true,0,-2
2025.02.06 07:11:04.572,MF1,G42065853,failed,1,1847092,1710,1716,63,8,0,true,0,-2
2025.02.06 07:11:13.621,MF1,G42066380,failed,1,1847091,1200,102003,63,8,0,true,0,-2
2025.02.06 07:11:27.779,MF1,G42067173,failed,1,1847095,1100,101002,63,8,0,true,0,-2
2025.02.06 07:11:34.317,MF1,G42067464,failed,1,1847050,1631,1716,63,8,0,true,0,-2
2025.02.06 07:11:40.793,MF1,G42067629,failed,1,1847050,1710,1716,63,8,0,true,0,-2
2025.02.06 07:11:57.985,MF1,G42068137,failed,1,1847046,1631,1716,63,8,0,true,0,-2
2025.02.06 07:12:02.158,MF1,G42068264,failed,1,1847046,1710,1716,63,8,0,true,0,-2
2025.02.06 07:12:14.302,MF1,G42068546,failed,1,1847170,1200,102004,63,8,0,true,0,-2
2025.02.06 07:12:16.677,MF1,G42068622,failed,1,1847045,1631,1716,63,8,0,true,0,-2
2025.02.06 07:12:20.791,MF1,G42068765,failed,1,1847045,1710,1716,63,8,0,true,0,-2
2025.02.06 07:12:22.479,MF1,G42068816,failed,1,1847085,1631,1716,63,8,0,true,0,-2
2025.02.06 07:13:08.047,MF1,G42069679,failed,1,1847085,1710,1716,63,8,0,true,0,-2
2025.02.06 07:13:08.140,MF1,G42069685,failed,1,1847174,1300,103005,63,8,0,true,0,-2
2025.02.06 07:13:29.881,MF1,G42070319,failed,1,1847243,1740,1746,63,8,0,true,0,-2
2025.02.06 07:13:40.149,MF1,G42070791,failed,1,1847125,1631,104007,63,8,0,true,0,-2
2025.02.06 07:13:46.417,MF1,G42071197,failed,1,1847279,1740,1746,63,8,0,true,0,-2
2025.02.06 07:14:10.833,MF1,G42072073,failed,1,1847129,1631,1726,63,8,0,true,0,-2
2025.02.06 07:14:18.709,MF1,G42072317,failed,1,1847129,1720,1726,63,8,0,true,0,-2
2025.02.06 07:14:20.663,MF1,G42072401,failed,1,1847125,1100,101002,63,8,0,true,0,-2
2025.02.06 07:14:24.366,MF1,G42072589,failed,1,1847024,1631,1716,63,8,0,true,0,-2
2025.02.06 07:14:28.538,MF1,G42072798,failed,1,1847024,1710,1716,63,8,0,true,0,-2
2025.02.06 07:14:48.077,MF1,G42073547,failed,1,1847127,1300,103006,63,8,0,true,0,-2
2025.02.06 07:14:49.703,MF1,G42073602,failed,1,1847130,1631,1726,63,8,0,true,0,-2
2025.02.06 07:14:58.894,MF1,G42073825,failed,1,1847130,1720,1726,63,8,0,true,0,-2
2025.02.06 07:15:00.710,MF1,G42073883,failed,1,1847145,1300,103006,63,8,0,true,0,-2
2025.02.06 07:15:19.607,MF1,G42074845,failed,1,1847109,1631,1716,63,8,0,true,0,-2
2025.02.06 07:15:19.982,MF1,G42074869,failed,1,1847052,1200,102003,63,8,0,true,0,-2
2025.02.06 07:15:26.202,MF1,G42075228,failed,1,1847109,1710,1716,63,8,0,true,0,-2
2025.02.06 07:15:45.520,MF1,G42076494,failed,1,1847277,1631,1726,63,8,0,true,0,-2
2025.02.06 07:15:47.614,MF1,G42076631,failed,1,1847050,1100,101002,63,8,0,true,0,-2
2025.02.06 07:15:53.615,MF1,G42077028,failed,1,1847264,1631,1726,63,8,0,true,0,-2
2025.02.06 07:15:56.630,MF1,G42077244,failed,1,1847277,1720,1726,63,8,0,true,0,-2
2025.02.06 07:16:00.631,MF1,G42077523,failed,1,1847264,1720,1726,63,8,0,true,0,-2
2025.02.06 07:16:03.054,MF1,G42077702,failed,1,1847245,1631,1726,63,8,0,true,0,-2
2025.02.06 07:16:09.933,MF1,G42078005,failed,1,1847245,1720,1726,63,8,0,true,0,-2
2025.02.06 07:16:10.136,MF1,G42078014,failed,1,1847046,1200,102003,63,8,0,true,0,-2
2025.02.06 07:16:12.903,MF1,G42078162,failed,1,1847260,1631,1726,63,8,0,true,0,-2
2025.02.06 07:16:20.237,MF1,G42078350,failed,1,1847254,1631,1726,63,8,0,true,0,-2
2025.02.06 07:16:25.897,MF1,G42078461,failed,1,1847260,1720,1726,63,8,0,true,0,-2
2025.02.06 07:16:26.709,MF1,G42078523,failed,1,1847254,1720,1726,63,8,0,true,0,-2
2025.02.06 07:16:35.776,MF1,G42078956,failed,1,1847045,1200,102003,63,8,0,true,0,-2
2025.02.06 07:16:36.167,MF1,G42078972,failed,1,1847053,1631,1716,63,8,0,true,0,-2
2025.02.06 07:16:43.418,MF1,G42079170,failed,1,1847053,1710,1716,63,8,0,true,0,-2
2025.02.06 07:16:43.449,MF1,G42079181,failed,1,1847068,1631,1716,63,8,0,true,0,-2
2025.02.06 07:16:49.270,MF1,G42079311,failed,1,1847068,1710,1716,63,8,0,true,0,-2
2025.02.06 07:17:13.154,MF1,G42080289,failed,1,1847041,1631,1716,63,8,0,true,0,-2
2025.02.06 07:17:20.046,MF1,G42080452,failed,1,1847041,1710,1716,63,8,0,true,0,-2
2025.02.06 07:17:35.812,MF1,G42081191,failed,1,1847084,1631,1716,63,8,0,true,0,-2
2025.02.06 07:17:39.578,MF1,G42081367,failed,1,1847084,1710,1716,63,8,0,true,0,-2
2025.02.06 07:18:08.337,MF1,G42082539,failed,1,1847103,1631,1716,63,8,0,true,0,-2
2025.02.06 07:18:12.157,MF1,G42082722,failed,1,1847103,1710,1716,63,8,0,true,0,-2
2025.02.06 07:20:21.548,MF1,G42088709,failed,1,1847109,1200,102004,63,8,0,true,0,-2
2025.02.06 07:20:22.689,MF1,G42088773,failed,1,1847024,1300,103005,63,8,0,true,0,-2
2025.02.06 07:20:47.090,MF1,G42089977,failed,1,1847053,1100,101002,63,8,0,true,0,-2
2025.02.06 07:21:01.749,MF1,G42090688,failed,1,1847019,1631,1716,63,8,0,true,0,-2
2025.02.06 07:21:05.156,MF1,G42090896,failed,1,1847019,1710,1716,63,8,0,true,0,-2
2025.02.06 07:21:24.004,MF1,G42091778,failed,1,1847022,1631,1716,63,8,0,true,0,-2
2025.02.06 07:21:27.786,MF1,G42092048,failed,1,1847022,1710,1716,63,8,0,true,0,-2
2025.02.06 07:21:43.022,MF1,G42092940,failed,1,1847068,1300,103006,63,8,0,true,0,-2
2025.02.06 07:21:54.641,MF1,G42093540,failed,1,1847060,1631,1716,63,8,0,true,0,-2
2025.02.06 07:21:58.501,MF1,G42093748,failed,1,1847060,1710,1716,63,8,0,true,0,-2
2025.02.06 07:22:07.068,MF1,G42094196,failed,1,1847041,1200,102003,63,8,0,true,0,-2
2025.02.06 07:22:27.002,MF1,G42095147,failed,1,1847084,1100,101002,63,8,0,true,0,-2
2025.02.06 07:22:44.319,MF1,G42095925,failed,1,1847103,1100,101002,63,8,0,true,0,-2
2025.02.06 07:23:00.180,MF1,G42096802,failed,1,1847040,1631,1716,63,8,0,true,0,-2
2025.02.06 07:23:04.321,MF1,G42096946,failed,1,1847040,1710,1716,63,8,0,true,0,-2
2025.02.06 07:23:53.226,MF1,G42097936,failed,1,1847019,1200,102003,63,8,0,true,0,-2
